Distance [m] 	Depth [m]
21079.129464467183	-218.39999389648438
21384.624094387	-231.49000549316406
21690.118724306813	-237.08999633789062
21995.613354226625	-230.4600067138672
22301.10798414644	-236.0
22606.602614066254	-215.3300018310547
22912.09724398607	-269.6000061035156
23217.591873905883	-286.5
23523.086503825696	-303.3900146484375
23828.581133745512	-313.54998779296875
24134.075763665325	-328.95001220703125
24439.57039358514	-359.6000061035156
24745.065023504954	-372.79998779296875
25050.55965342477	-386.69000244140625
25356.054283344583	-412.9599914550781
25661.548913264396	-429.6499938964844
25967.043543184212	-455.42999267578125
26272.538173104025	-457.9800109863281
26578.03280302384	-459.1700134277344
26883.527432943654	-461.0899963378906
27189.02206286347	-472.7099914550781
27494.516692783283	-486.4599914550781
27800.011322703096	-513.1799926757812
28105.505952622912	-524.1300048828125
28411.000582542725	-525.5900268554688
28716.49521246254	-543.7999877929688
29021.989842382354	-576.7899780273438
29327.484472302167	-610.77001953125
29632.979102221983	-651.3400268554688
29938.473732141796	-691.510009765625
30243.968362061612	-649.010009765625
30549.462991981425	-609.9199829101562
30854.95762190124	-644.0900268554688
31160.452251821054	-683.5499877929688
31465.946881740867	-673.02001953125
31771.441511660683	-566.02001953125
32076.936141580496	-536.5499877929688
32382.430771500312	-631.780029296875
32687.925401420125	-487.2300109863281
32993.42003133994	-418.8299865722656
33298.914661259754	-498.7699890136719
33604.40929117957	-641.4199829101562
33909.90392109938	-756.219970703125
34215.3985510192	-767.4199829101562
34520.89318093901	-774.3400268554688
34826.387810858825	-776.8599853515625
35131.88244077864	-793.1099853515625
35437.37707069845	-785.0499877929688
35742.87170061827	-789.510009765625
36048.36633053808	-784.4500122070312
36353.860960457896	-764.8599853515625
36659.35559037771	-739.219970703125
36964.85022029753	-714.2000122070312
37270.34485021734	-710.3800048828125
37575.839480137154	-696.97998046875
37881.33411005697	-684.6699829101562
38186.82873997678	-670.510009765625
38492.3233698966	-678.02001953125
38797.81799981641	-679.4299926757812
39103.312629736225	-690.9500122070312
39408.80725965604	-705.5599975585938
39714.30188957585	-715.1400146484375
40019.79651949567	-744.780029296875
40325.29114941548	-766.8200073242188
40630.785779335296	-781.97998046875
40936.28040925511	-814.239990234375
41241.77503917492	-823.9400024414062
41547.26966909474	-826.7000122070312
41852.764299014554	-831.4500122070312
42158.25892893437	-842.02001953125
42463.75355885418	-845.7999877929688
42769.248188774	-850.0900268554688
43074.74281869381	-856.3300170898438
43380.237448613625	-863.219970703125
43685.73207853344	-866.7100219726562
43991.22670845325	-869.8499755859375
44296.72133837307	-870.4199829101562
44602.21596829288	-870.6400146484375
44907.710598212696	-874.1400146484375
45213.20522813251	-877.9299926757812
45518.69985805232	-882.0
45824.19448797214	-886.8699951171875
46129.689117891954	-891.9400024414062
46435.18374781177	-898.9099731445312
46740.67837773158	-907.9099731445312
47046.17300765139	-909.8499755859375
47351.66763757121	-910.5399780273438
47657.162267491025	-911.02001953125
47962.65689741084	-910.219970703125
48268.15152733065	-905.1300048828125
48573.64615725047	-808.3900146484375
48879.14078717028	-748.4500122070312
49184.635417090096	-823.3699951171875
49490.13004700991	-889.8300170898438
49795.62467692972	-797.3699951171875
50101.11930684954	-766.8499755859375
50406.613936769354	-878.5499877929688
50712.10856668917	-929.1699829101562
51017.60319660898	-859.9199829101562
51323.09782652879	-812.3099975585938
51628.59245644861	-714.9299926757812
51934.087086368425	-636.72998046875
52239.58171628824	-617.9199829101562
52545.07634620805	-614.6699829101562
52850.57097612786	-609.1799926757812
53156.06560604768	-607.0399780273438
53461.560235967496	-589.3099975585938
53767.05486588731	-580.4500122070312
54072.54949580712	-579.8800048828125
54378.04412572694	-527.3900146484375
54683.538755646754	-528.0499877929688
54989.03338556657	-523.7999877929688
55294.52801548638	-519.1300048828125
55600.02264540619	-510.2099914550781
55905.51727532601	-504.5400085449219
56211.011905245825	-501.8399963378906
56516.50653516564	-533.8099975585938
56822.00116508545	-587.8900146484375
57127.49579500526	-579.719970703125
57432.99042492508	-571.7100219726562
57738.485054844896	-557.5399780273438
58043.97968476471	-551.1099853515625
58349.47431468452	-546.6500244140625
58654.968944604334	-541.72998046875
58960.463574524154	-521.6300048828125
59265.95820444397	-540.7999877929688
59571.45283436378	-544.1500244140625
59876.94746428359	-545.3699951171875
60182.44209420341	-548.6900024414062
60487.936724123225	-547.72998046875
60793.43135404304	-559.4500122070312
61098.92598396285	-566.9099731445312
61404.42061388266	-586.47998046875
61709.91524380248	-613.469970703125
62015.409873722296	-637.6599731445312
62320.90450364211	-680.1699829101562
62626.39913356192	-804.6500244140625
